TimeStamp	Order	num-executors	spark.storage.memoryFraction	total-executor-cores	totalTimeCost
1594967117912	1	50	.40	4	20910
1594967187608	2	50	.40	8	11457
1594967233466	3	50	.40	12	67892
1594967337515	4	50	.40	16	28628
1594967397969	5	50	.60	4	28747
1594967489538	6	50	.60	8	18587
1594967552793	7	50	.60	12	10600
1594967580745	8	50	.60	16	10706
1594967608595	9	50	.80	4	11492
1594967637282	10	50	.80	8	10820
1594967665358	11	50	.80	12	10813
1594967693370	12	50	.80	16	10766
1594967724942	13	100	.40	4	21189
1594967782234	14	100	.40	8	26395
1594967844845	15	100	.40	12	17249
1594967898373	16	100	.40	16	35576
1594967992224	17	100	.60	4	31856
1594968067466	18	100	.60	8	37642
1594968160645	19	100	.60	12	56086
1594968251900	20	100	.60	16	16258
1594968317960	21	100	.80	4	19519
1594968377714	22	100	.80	8	17629
1594968436804	23	100	.80	12	33396
1594968507637	24	100	.80	16	37620
1594968579414	25	150	.40	4	28151
1594968636874	26	150	.40	8	14714
1594968692560	27	150	.40	12	15179
1594968745461	28	150	.40	16	40749
1594968861912	29	150	.60	4	22784
1594968947519	30	150	.60	8	44026
1594969046857	31	150	.60	12	37622
1594969136104	32	150	.60	16	40496
1594969227685	33	150	.80	4	33858
1594969310838	34	150	.80	8	22632
1594969402475	35	150	.80	12	22042
1594969460026	36	150	.80	16	36524
